,Disease,Preprocessed_Symptoms
267,Idiopathic hypersomnia,individual ih share common symptom including excessive daytime sleepiness sleep inertia brain fog long sleep period
268,Hypertensive emergency,symptom may include headache nausea vomiting chest pain may occur due increased workload heart resulting inadequate delivery oxygen meet heart muscle metabolic need kidney may affected resulting blood protein urine acute kidney failure people decreased urine production fluid retention confusion
269,Hypertriglyceridemia,people elevated triglyceride experience symptom form primary hypertriglyceridemia lead specific symptom familial chylomicronemia primary mixed hyperlipidemia include skin symptom eruptive xanthoma eye abnormality lipemia retinalis hepatosplenomegaly enlargement liver spleen neurological symptom experience attack abdominal pain may mild episode pancreatitis eruptive xanthoma 2–5 mm papule often red ring around occur cluster skin trunk buttock extremity familial dysbetalipoproteinemia cause larger tuberous xanthoma red orange occur elbow knee palmar crease xanthoma may also occur
271,Hypocalcemia,numbness muscle spasm seizure confusion
273,Hypoestrogenism,presentation low estrogen level include hot flash sudden intense feeling heat predominantly upper body causing skin redden blushing believed occur due narrowing thermonuclear zone hypothalamus making body sensitive body temperature change night disturbance also common symptom associated hypoestrogenism people may experience difficulty falling asleep waking several time night early awakening different variability race ethnic group
274,Hypogonadism,woman hypogonadism begin menstruating may affect height breast development onset woman puberty cause cessation menstruation lowered libido loss body hair hot flash men cause impaired muscle body hair development gynecomastia decreased height erectile dysfunction sexual difficulty hypogonadism caused disorder central nervous system eg brain tumor known central hypogonadism sign symptom central hypogonadism may involve headache impaired vision double vision milky discharge breast symptom caused hormone problem
275,Hypokalemic periodic paralysis,hypokalemic periodic paralysis condition cause episode extreme muscle weakness typically beginning childhood adolescence often episode involve temporary inability move muscle arm leg attack cause severe weakness paralysis usually last hour day people may episode almost every day others experience weekly monthly rarely attack occur without warning triggered factor rest exercise viral illness certain medication often large carbohydraterich meal vigorous exercise evening trigger attack upon waking following morning although affected individual usually regain muscle strength attack develop persistent muscle weakness later life
276,Magnesium deficiency,tremor poor coordination nystagmus seizure
277,Hypoparathyroidism,hypocalcemia
278,Hypotension,dizziness clumsiness giddiness headache lightheadedness fatigue nausea blurred vision shakiness breathlessness increased thirst irregular heartbeat chest pain fever seizure
279,Hypothyroidism,poor ability tolerate cold feeling tired constipation weight gain depression anxiety irritability
280,Delirium,agitation confusion drowsiness hallucination delusion memory problem
281,Immune thrombocytopenic purpura,sign itp include spontaneous formation bruise purpura petechia tiny bruise especially extremity additionally bleeding nostril andor gum well menorrhagia excessive menstrual bleeding may occur platelet count fall 20000 per μl platelet count 10000 per μl lead spontaneous formation hematoma blood mass mouth mucous membrane furthermore bleeding time minor laceration abrasion usually prolonged
282,Kaposi's sarcoma,purple colored skin lesion
284,Indigestion,upper abdominal pain
285,Gonorrhea,none burning urination vaginal discharge discharge penis pelvic pain testicular pain
286,Inflammatory bowel disease,spite crohn uc different disease may present following symptom abdominal pain diarrhea rectal bleeding severe internal crampsmuscle spasm region pelvis weight loss anemia prevalent extraintestinal complication inflammatory bowel disease associated complaint disease include arthritis pyoderma gangrenosum primary sclerosing cholangitis nonthyroidal illness syndrome ntis association deep vein thrombosis dvt bronchiolitis obliterans organizing pneumonia boop also reported diagnosis generally assessment inflammatory marker stool followed colonoscopy biopsy pathological lesion
287,Inflammation,heat pain redness swelling
288,Influenza,fever runny nose sore throat muscle pain headache coughing fatigue
289,Influenza,fever runny nose sore throat muscle pain headache coughing fatigue
290,Insomnia,trouble sleeping daytime sleepiness low energy irritability depressed mood
291,Fatal insomnia,progressive insomnia ataxia double vision weight loss high blood pressure excessive sweating
292,Metabolic syndrome,obesity
293,Intermittent claudication,one hallmark arterial claudication occurs intermittently disappears brief rest patient start walking pain recurs following sign general sign atherosclerosis lower extremity artery
294,Interstitial cystitis,chronic pain bladder feeling need urinate right away needing urinate often pain sex
295,Intra-abdominal infection,suspected iais usually acute onset abdominal pain sign local generalised inflammation pain tenderness pain touching fever tachycardia increased heart rate tachypnea increased breathing rate severe case organ failure sign hypotension low blood pressure oliguria reduced urine output sudden onset altered level consciousness lactic acidosis appear
296,Glaucoma,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
297,Uveitis,headache red eye blurred vision photophobia burning redness eye
298,Iron-deficiency anemia,feeling tired weakness shortness breath confusion pallor
299,Irritable bowel syndrome,diarrhea constipation abdominal pain
300,Stroke,inability move feel one side body problem understanding speaking dizziness loss vision one side
301,Cerebral edema,headache nausea vomiting decreased consciousness seizure
302,Jet lag,symptom jet lag quite varied depending amount time zone alteration time day individual difference sleep disturbance occurs poor sleep upon arrival andor sleep disruption trouble falling asleep flying east early awakening flying west trouble remaining asleep cognitive effect include poorer performance mental task concentration dizziness nausea insomnia confusion anxiety increased fatigue headache irritability problem digestion including indigestion change frequency defecation consistency faeces reduced interest enjoyment food symptom caused circadian rhythm sync day–night cycle destination well possibility internal desynchronisation jet lag measured simple analogue scale study shown relatively blunt assessing problem associated jet lag liverpool jet lag questionnaire developed measure symptom jet lag several time day dedicated measurement tool used ass jet lag athlete
303,Juvenile idiopathic arthritis,arthritis mean inflammation within joint usually recognised swelling pain stiffness restricted joint movement symptom jia vary individual individual mainly jia umbrella term several subtypes jia differ according number affected joint severity disease presence absence inflammation part body
304,Juvenile idiopathic arthritis,arthritis mean inflammation within joint usually recognised swelling pain stiffness restricted joint movement symptom jia vary individual individual mainly jia umbrella term several subtypes jia differ according number affected joint severity disease presence absence inflammation part body
305,Herpes simplex keratitis,primary infection commonly manifest blepharoconjunctivitis ie infection lid conjunctiva heals without scarring lid vesicle conjunctivitis seen primary infection corneal involvement rarely seen primary infection
306,Dry eye syndrome,dry eye irritation redness discharge blurred vision
307,Keratosis pilaris,kp result small rough bump surface skin skincolored bump size grain sand many surrounded slight pink color lightskinned people dark spot darkskinned people people kp symptom bump skin occasionally itchy irritation due scratching kp bump result redness inflammation
308,Pyelonephritis,fever flank tenderness nausea burning urination frequent urination
309,Pregnancy,missed period tender breast nausea vomiting hunger frequent urination
310,Childbirth,prominent sign labour strong repetitive uterine contraction pain contraction described feeling similar strong menstrual cramp crowning may experienced intense stretching burning lamaze method childbirth teach making noise moaning groaning grunting repeating word sound one body may wish naturally make may help relieve pain help labour progress according lamaze medium would believe birthing woman scream reality common noise say screaming may sign labouring woman beginning panic support team help back regulated breathing
311,Childbirth,prominent sign labour strong repetitive uterine contraction pain contraction described feeling similar strong menstrual cramp crowning may experienced intense stretching burning lamaze method childbirth teach making noise moaning groaning grunting repeating word sound one body may wish naturally make may help relieve pain help labour progress according lamaze medium would believe birthing woman scream reality common noise say screaming may sign labouring woman beginning panic support team help back regulated breathing
312,Lactose intolerance,abdominal pain bloating diarrhea flatulence nausea
313,Heart failure,shortness breath exhaustion swollen leg
314,Lennox–Gastaut syndrome,symptom vary progress age characterized triad seizure including tonic seizure cognitive dysfunction eeg finding triad may fully emerge 1–2 year first seizure episode
315,Lichen planus,although lichen planus present variety lesion common presentation well defined area purplecoloured itchy flattopped papule interspersed lacy white line wickhams stria description known characteristic 6 p lichen planus planar flattopped purple polygonal pruritic papule plaque rash regressing likely leave area hyperpigmentation slowly fade said variety lesion also occur
316,Lichen sclerosus,l occur without symptom white patch l body area itching pain dyspareunia genital l easier bruising cracking tearing peeling hyperkeratosis common symptom men woman woman condition commonly occurs vulva around anus ivorywhite elevation may flat glistening
317,Anesthesia awareness,intraoperative awareness present variety sign symptom large proportion patient report vague dreamlike experience others report specific intraoperative event
319,Congenital generalized lipodystrophy,mild specific body feature absence subcutaneous fat muscle hypertrophy insulin resistance gigantism acromegaly large appetite
321,Hernia,pain especially coughing bulging area
322,Lyme disease,expanding area redness site tick bite fever headache tiredness
323,Lyme disease,expanding area redness site tick bite fever headache tiredness
324,Lyme disease,expanding area redness site tick bite fever headache tiredness
325,Microscopic colitis,persistent diarrhea
326,Lymphoma,enlarged lymph node fever sweat unintended weight loss itching feeling tired
327,Macular degeneration,blurred vision center visual field
328,Diabetic retinopathy,often asymptomatic cause spot eye vision loss
330,Malaria,fever vomiting headache yellow skin
331,Malaria,fever vomiting headache yellow skin
332,Mania,manic episode defined american psychiatric association diagnostic manual distinct period abnormally persistently elevated expansive irritable mood abnormally persistently increased activity energy lasting least 1 week present day nearly every day duration hospitalization necessary mood caused drugsmedication nonmental medical illness eg hyperthyroidism causing obvious difficulty work social relationship activity b requires admission hospital protect person others c person psychosis
333,Mantle cell lymphoma,people mantle cell lymphoma typically present symptom later life median age onset 60 70 year age western country mcl account around 7 adult nonhodgkins lymphoma 4 8 per case per million diagnosed year incidence mcl increase age united state median age diagnosis 68 year threequarters patient men addition patient likely caucasian
334,Melanoma,mole increasing size irregular edge change color itchiness skin breakdown
335,Melanoma,mole increasing size irregular edge change color itchiness skin breakdown
336,Melasma,symptom melasma dark irregular welldemarcated hyperpigmented macule patch patch often develop gradually time melasma cause symptom beyond cosmetic discoloration patch vary size 05 cm larger 10 cm depending person location categorized centrofacial malar mandibular common centrofacial patch appear cheek nose upper lip forehead chin mandibular category account patch bilateral ramus malar location account patch nose cheek
337,Ménière's disease,feeling like world spinning ringing ear hearing loss fullness ear
338,Menopause,menstrual period year
339,Heavy menstrual bleeding,bleeding usual
340,Heavy menstrual bleeding,bleeding usual
341,Methicillin-resistant Staphylococcus aureus,human staphylococcus aureus part normal microbiota present upper respiratory tract skin gut mucosa however along similar bacterial specie colonize act symbiotically cause disease begin take tissue colonized invade tissue resultant infection called pathobiont
342,Migraine,headache nausea sensitivity light sound smell
343,Migraine,headache nausea sensitivity light sound smell
344,Mild cognitive impairment,include memory impairment amnestic cognitive problem like impaired decision making language visuospatial skill nonamnestic
345,Mitral valve prolapse,palpitation atypical precordial pain dyspnea exertion low bmi electrocardiogram abnormality ventricular tachycardia syncope low blood pressure headache lightheadedness sign suggestive autonomic nervous system dysfunction dysautonomia
346,Mixed connective tissue disease,mctd combine feature scleroderma polymyositis systemic lupus erythematosus rheumatoid arthritis source adding myositis dermatomyositis inclusion body myositis thus considered overlap syndrome
347,Infectious mononucleosis,fever sore throat enlarged lymph node neck fatigue
348,Motion sickness,nausea vomiting cold sweat increased salivation
349,Decompression sickness,bubble form anywhere body dc frequently observed shoulder elbow knee ankle joint pain bend account 60 70 altitude dc case shoulder common site altitude bounce diving knee hip joint saturation compressed air work neurological symptom present 10 15 dc case headache visual disturbance common symptom skin manifestation present 10 15 case pulmonary dc choke rare diver observed much le frequently aviator since introduction oxygen prebreathing protocol table show symptom different dc type
350,Mucositis,red burnlike sore ulcer throughout mouth
351,Multiple myeloma,bone pain fatigue 653
352,Multiple sclerosis,variable including almost neurological symptom sign autonomic visual motor sensory problem common
353,Delayed onset muscle soreness,soreness perceived dull aching pain affected muscle often combined tenderness stiffness pain typically felt muscle stretched contracted put pressure rest 63 tenderness characteristic symptom doms also referred muscular mechanical hyperalgesia
354,Tetanus,fever crampedup jaw muscle spasm headache seizure sweating trouble swallowing
355,Myasthenia gravis,varying degree muscle weakness double vision drooping eyelid trouble talking trouble walking
356,Mycobacterium avium-intracellulare infection,pulmonary involvement symptom similar tuberculosis tb include fever fatigue weight loss coughing blood diarrhea abdominal pain associated gastrointestinal involvement
357,Mycoplasma pneumonia,pneumoniae known cause host symptom primary atypical pneumonia tracheobronchitis upper respiratory tract disease primary atypical pneumonia one severe type manifestation tracheobronchitis common symptom another 15 case usually adult remain asymptomatic symptomatic infection tend develop period several day manifestation pneumonia confused number bacterial pathogen condition cause pneumonia tracheobronchitis common child due reduced immune system capacity 18 infected child require hospitalization common mild symptom include sore throat wheezing coughing fever headache rhinitis myalgia feeling unease symptom intensity duration limited early treatment antibiotic rarely pneumoniae pneumonia result death due lesion ulceration epithelial lining pulmonary edema bronchiolitis obliterans extrapulmonary symptom autoimmune response central nervous system complication dermatological disorder associated pneumoniae infection 25 case
358,Myelodysplastic syndrome,none feeling tired shortness breath easy bleeding frequent infection
359,Primary myelofibrosis,primary feature primary myelofibrosis bone marrow fibrosis often accompanied
360,Primary myelofibrosis,primary feature primary myelofibrosis bone marrow fibrosis often accompanied
361,Myotonia congenita,delayed relaxation muscle fall difficulty swallowing
363,Narcolepsy,excessive daytime sleepiness involuntary sleep episode sudden loss muscle strength hallucination
364,Methicillin-resistant Staphylococcus aureus,human staphylococcus aureus part normal microbiota present upper respiratory tract skin gut mucosa however along similar bacterial specie colonize act symbiotically cause disease begin take tissue colonized invade tissue resultant infection called pathobiont
365,Rhinitis medicamentosa,nasal congestion
366,Nasal polyp,trouble breathing nose loss smell decreased taste post nasal drip runny nose
367,Vomiting,nausea
368,Morning sickness,nausea vomiting
369,Vomiting,nausea
370,Vomiting,nausea
371,Neck-tongue syndrome,neck pain occipital neuralgia numbness tingling tongue
372,Nephrotic syndrome,swelling weight gain feeling tired foamy urine
373,Trigeminal neuralgia,typical episode severe sudden shocklike pain one side face last second minute atypical constant burning pain
374,Peripheral neuropathy,shooting pain numbness tingling tremor bladder problem unsteadiness
375,Neutropenia,sign symptom neutropenia include fever painful swallowing gingival pain skin abscess otitis symptom may exist individual neutropenia often infection
376,Neutropenia,sign symptom neutropenia include fever painful swallowing gingival pain skin abscess otitis symptom may exist individual neutropenia often infection
377,New daily persistent headache,headache vary greatly clinical presentation duration
378,Night terror,feeling panic dread sudden motor activity thrashing sweating rapid breathing increased heart rate
379,Nightmare,nightmare experience abnormal sleep architecture impact nightmare night found similar insomnia thought caused frequent nocturnal awakening fear falling asleep nightmare disorder symptom include repeated awakening major sleep period nap detailed recall extended extremely frightening dream usually involving threat survival security selfesteem awakening generally occur second half sleep period
380,Cramp,sudden muscle pain paralysislike immobility
381,Non-Hodgkin lymphoma,enlarged lymph node fever night sweat weight loss tiredness itching
382,Acute lymphoblastic leukemia,feeling tired pale color fever easy bleeding bruising bone pain enlarged lymph node
383,Arthropathy,joint pain common nonspecific sign joint disease sign depend specific disease may even vary common sign may include
384,HIV/AIDS,early flulike illness later large lymph node fever weight loss
385,Obesity,increased fat
387,Obstructive sleep apnea,common symptom osa syndrome include unexplained daytime sleepiness restless sleep loud snoring period silence followed gasp le common symptom morning headache insomnia trouble concentrating mood change irritability anxiety depression forgetfulness increased heart rate blood pressure decreased sex drive unexplained weight gain increased urinary frequency nocturia frequent heartburn gastroesophageal reflux heavy night sweat
388,Occipital neuralgia,patient presenting headache originating posterior skull base evaluated condition typically present paroxysmal lancinating stabbing pain lasting second minute therefore continuous aching pain likely indicates different diagnosis bilateral symptom present onethird case
389,Hypospermia,common sign hypospermia low volume semen ejaculation diagnosis confirmed one semen volume le 20 ml least two successive spermograms hypospermia caused retrograde ejaculation sign include cloudy urine orgasm may symptom hypospermia unless caused abnormality
390,Onychomycosis,white yellow nail discoloration thickening nail
391,Onychomycosis,white yellow nail discoloration thickening nail
392,Ovarian remnant syndrome,ovarian hormone present ovary removed sign ovarian tissue still remains sign symptom may include pelvic pain pelvic mass absence menopause oophorectomy factor may include pelvic adhesion limiting ability see ovary causing adhere tissue anatomic variation bleeding surgery poor surgical technique treatment indicated people symptom typically involves surgery remove residual tissue therapy refuse surgery surgery pelvic mass may include hormonal therapy suppress ovarian function
393,Astigmatism,distorted blurred vision distance eyestrain headache
394,Opioid use disorder,strong desire use opioids increased tolerance opioids failure meet obligation trouble reducing use withdrawal syndrome discontinuation
395,Opioid use disorder,strong desire use opioids increased tolerance opioids failure meet obligation trouble reducing use withdrawal syndrome discontinuation
396,Opioid withdrawal,withdrawal opioid produce similar sign symptom however severity duration withdrawal depend type dose opioid taken duration frequency use
397,Opioid overdose,respiratory depression small pupil unconsciousness
400,Oral candidiasis,sign symptom dependent upon type oral candidiasis often apart appearance lesion usually sign symptom type oral candidiasis painless burning sensation may occur case candidiasis therefore sometimes misdiagnosed burning mouth syndrome burning sensation likely erythematous atrophic candidiasis whilst hyperplastic candidiasis normally entirely asymptomatic acute atrophic candidiasis may feel like mouth scalded hot liquid another potential symptom metallic acidic salty bitter taste mouth pseudomembranous type rarely cause symptom apart possibly discomfort bad taste due presence membrane sometimes patient describes raised pseudomembranes blister occasionally dysphagia difficulty swallowing indicates candidiasis involves oropharynx esophagus well mouth trachea larynx may also involved oral candidiasis may cause hoarseness voice
402,Type 1 diabetes,frequent urination increased thirst increased hunger weight loss blurred vision fatigue weakness bedwetting child previously didnt wet bed night
403,Osteoarthritis,joint pain stiffness joint swelling decreased range motion
404,Multiple myeloma,bone pain fatigue 653
405,Bone metastasis,bone metastasis cause severe pain bone fracture spinal cord compression hypercalcemia anemia spinal instability decreased mobility rapid degradation quality life patient patient described pain dull ache grows worse time intermittent period sharp jagged pain even controlled pain management period breakthrough pain occur rapidly without warning several time day pain may worse night partially relieved activity metastasis weightbearing bone may become symptomatic early course disease compared metastasis flat bone rib sternum
406,Osteoporosis,increased risk broken bone
407,Otitis externa,ear pain swelling ear canal decreased hearing difficulty chewing
408,Otitis media,ear pain fever hearing loss
409,Ovarian cyst,none bloating lower abdominal pain lower back pain
412,Paget's disease of bone,mild early case paget asymptomatic people diagnosed paget disease incidentally medical evaluation another problem approximately 35 patient paget symptom related disease first diagnosed overall common symptom bone pain symptom occur may confused arthritis disorder diagnosis may delayed paget may first noticed increasing deformity person bone
413,Pain,unpleasant sensory emotional sensation
415,Type 1 diabetes,frequent urination increased thirst increased hunger weight loss blurred vision fatigue weakness bedwetting child previously didnt wet bed night
416,Exocrine pancreatic insufficiency,loss pancreatic enzyme lead maldigestion malabsorption symptom may include
419,Parkinson's disease,rigidity slowness movement tremor difficulty walking
420,Parkinsonism,parkinsonism clinical syndrome characterized four motor symptom found parkinson disease tremor bradykinesia slowed movement rigidity postural instability
422,Growth hormone deficiency,short height
423,Pelvic inflammatory disease,lower abdominal pain vaginal discharge fever burning urination pain sex irregular menstruation
424,Bullous pemphigoid,clinically earliest lesion may appear hive like red raised rash could also appear dermatitic targetoid lichenoid nodular even without rash essential pruritus tense bulla eventually erupt commonly inner thigh upper arm trunk extremity frequently involved part skin surface involved oral lesion present minority case disease may acute last month year period exacerbation remission
425,Pemphigus vulgaris,pemphigus vulgaris commonly present oral blister buccal palatine mucosa especially also includes cutaneous blister mucosal surface conjunctiva nose esophagus penis vulva vagina cervix anus may also affected flaccid blister skin frequently seen sparing skin covering palm sol
427,Coronary artery disease,chest pain shortness breath
428,Test anxiety,researcher believe feeling anxiety arise prepare person threat human anxiety symptom distributed along continuum different symptom level anxiety predict outcome response consist increased heart rate stress hormone secretion restlessness vigilance fear potentially dangerous environment anxiety prepares body physically cognitively behaviourally detect deal threat survival result person body begin hyperventilate allow oxygen enter bloodstream divert blood muscle sweat cool skin individual degree anxiety response developed based probability bad thing happening environment individual ability cope case test taking might failing exam grade prevents student accepted postsecondary institution person belief competency form selfknowledge play important role analyzing situation might threatening person feeling low competence ability likely anticipate negative outcome failure uncertain condition thus evaluative situation including test exam perceived threatening student low competency
429,Menopause,menstrual period year
430,Dysmenorrhea,pain first day menstruation diarrhea nausea
432,Periodontal disease,red swollen painful bleeding gum loose teeth bad breath
433,Perioral dermatitis,papule pustule red skin
434,Peripheral neuropathy,shooting pain numbness tingling tremor bladder problem unsteadiness
435,Peritonitis,severe pain swelling abdomen fever
437,Whooping cough,runny nose fever cough
438,Tetanus,fever crampedup jaw muscle spasm headache seizure sweating trouble swallowing
439,Pharyngitis,sore throat fever runny nose cough headache hoarse voice
440,Actinic elastosis,actinic elastosis usually appears thickened dry wrinkled skin several clinical variant recorded one readily identifiable thickened deeply fissured skin seen back chronically sunexposed neck known cutis rhomboidalis nucha feature part constellation change seen photoaged skin
441,Keratosis pilaris,kp result small rough bump surface skin skincolored bump size grain sand many surrounded slight pink color lightskinned people dark spot darkskinned people people kp symptom bump skin occasionally itchy irritation due scratching kp bump result redness inflammation
442,Psoriasis,red purple darker skin itchy scaly patch skin
444,Meningococcal disease,flulike symptom stiff neck altered mental status seizure purpura
445,Pneumonia,cough shortness breath chest pain fever
446,Polycystic ovary syndrome,irregular menstrual period heavy period excess hair acne pelvic pain difficulty getting pregnant patch thick darker velvety skin
448,Gallstone,none crampy pain right upper abdomen
449,Postherpetic neuralgia,burning stabbing pain pain doesnt end shingle subsides
450,Menopause,menstrual period year
451,Glaucoma,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
452,Glaucoma,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
453,Pain,unpleasant sensory emotional sensation
454,Postpartum depression,extreme sadness low energy anxiety change sleeping eating pattern cry episode irritability
455,Postural orthostatic tachycardia syndrome,often standing lightheadedness trouble thinking tachycardia weakness palpitation heat intolerance acrocyanosis
458,Delayed ejaculation,delayed ejaculation mild men still experience orgasm intercourse certain condition moderate ejaculate intercourse fellatio handjob severe ejaculate alone severe ejaculate form may result sense sexual frustration case delayed ejaculation present condition man climax ejaculate masturbation sexual intercourse 2015 dsmv us term delayed ejaculation instead older term inhibited ejaculation impotent ejaculation retarded ejaculation determine amount time count delayed one source us measurement mean time man achieve ejaculation study 500 couple heterosexual vaginal intercourse 8 minute standard deviation 71 minute due men reputation reliably able ejaculate sex case man face delayed ejaculation woman may perceive due attractive due fault sexual technique
460,Premature ventricular contraction,although many possible symptom associated pvc pvc may also symptom pvc may perceived skipped heart beat strong beat palpitation lightheadedness may also cause chest pain faint feeling fatigue hyperventilation exercise symptom may pronounced time stress woman may aware pvc time menstrual period
462,Premenstrual syndrome,fatigue irritability mood change tender breast abdominal bloating
463,Urinary tract infection,pain urination frequent urination feeling need urinate despite empty bladder
464,Cardiovascular disease,chest pain shortness breath fatigue loss consciousness
465,Tooth decay,pain tooth loss difficulty eating
466,Gitelman syndrome,affected individual may symptom case symptomatic individual present symptom almost identical patient thiazide diuretic given affected transporter target thiazide
467,Osteoporosis,increased risk broken bone
468,Atrial fibrillation,none heart palpitation fainting shortness breath chest pain
469,Primary aldosteronism,high blood pressure poor vision headache muscular weakness muscle spasm
470,Primary immunodeficiency,precise symptom primary immunodeficiency depend type defect generally symptom sign lead diagnosis immunodeficiency include recurrent persistent infection developmental delay result infection particular organ problem eg disease involving skin heart facial development skeletal system may present certain condition others predispose autoimmune disease immune system attack body tissue tumour sometimes specific form cancer lymphoma nature infection well additional feature may provide clue exact nature immune defect
471,Enuresis,nocturnal enuresis usually present voiding urine sleep child difficult wake may accompanied bladder dysfunction day termed nonmono symptomatic enuresis day time enuresis also known urinary incontinence may also accompanied bladder dysfunction
472,Primary ovarian insufficiency,sign symptom poi seen part continuum change leading menopause poi contrast ageappropriate menopause age onset degree symptom sporadic return normal ovarian function woman retain partial ovarian function symptom may severe regular menopause others particularly coexistent depression symptom decreased quality life severe
473,Primary ovarian insufficiency,sign symptom poi seen part continuum change leading menopause poi contrast ageappropriate menopause age onset degree symptom sporadic return normal ovarian function woman retain partial ovarian function symptom may severe regular menopause others particularly coexistent depression symptom decreased quality life severe
475,Acute prostatitis,men acute prostatitis often chill fever pain lower back perineum genital area urinary frequency urgency often night burning painful urination body ache demonstrable infection urinary tract evidenced white blood cell bacteria urine acute prostatitis may complication prostate biopsy often prostate gland tender palpation rectum
476,Itch,compulsion scratch irritated area skin
477,Pseudobulbar affect,episode uncontrollable laughing cry emotional display may match patient mental state
478,Idiopathic intracranial hypertension,headache vision problem ringing ear heartbeat
479,Psoriasis,red purple darker skin itchy scaly patch skin
480,Psoriatic arthritis,pain swelling stiffness one joint commonly present psoriatic arthritis psoriatic arthritis inflammatory affected joint generally red warm touch asymmetrical oligoarthritis defined inflammation affecting two four joint first six month disease present 70 case however 15 case arthritis symmetrical joint hand involved psoriasis proximal interphalangeal distal interphalangeal metacarpophalangeal joint wrist involvement distal interphalangeal joint characteristic feature present many case nail pitting often accompanies distal interphalangeal joint involvement may essential differentiating psoriatic arthritis disease
481,Psychosis,false belief seeing hearing thing others see hear incoherent speech behavior
482,Nerve compression syndrome,pain tingling dull ache numbness shooting pain muscle weakness
483,Pulmonary edema,progressive dyspnea cough fever cyanosis tachycardia
484,Pulmonary embolism,shortness breath chest pain coughing blood
485,Pulmonary embolism,shortness breath chest pain coughing blood
486,Pulmonary hypertension,chest pain fatigue
488,Raynaud syndrome,affected part turning white blue red burning
489,Complex regional pain syndrome,pain allodynia hypo hyperesthesia skin temperature abnormality atrophy stiffness
490,Renal cell carcinoma,historically medical practitioner expected person present three finding classic triad 1 haematuria blood present urine 2 flank pain pain side body hip rib 3 abdominal mass similar bloating larger known classic triad symptom occurs 10–15 case usually indicative renal cell carcinoma rcc advanced stage today rcc often asymptomatic meaning symptom generally detected incidentally person examined ailment
492,Restless legs syndrome,unpleasant feeling leg briefly improves moving
494,Rheumatoid arthritis,warm swollen painful joint
495,Allergic rhinitis,stuffy itchy nose sneezing red itchy watery eye swelling around eye itchy ear
496,Rhinorrhea,rhinorrhea characterized excess amount mucus produced mucous membrane line nasal cavity membrane create mucus faster processed causing backup mucus nasal cavity cavity fill block air passageway causing difficulty breathing nose air caught nasal cavity – namely sinus cavity released resulting pressure may cause headache facial pain sinus passage remains blocked chance sinusitis may result mucus back eustachian tube may result ear pain ear infection excess mucus accumulating throat back nose may cause postnasal drip resulting sore throat coughing additional symptom include sneezing nosebleed nasal discharge
497,Rosacea,facial redness swelling small superficial dilated blood vessel
498,Gastroenteritis,diarrhea vomiting abdominal pain fever
499,Sarcoidosis,depends organ involved lung wheezing cough shortness breath chest pain skin lump ulcer discolored skin child weight loss bone pain feeling tired
500,Scabies,itchiness pimple like rash
501,Subacute combined degeneration of spinal cord,onset gradual uniform pathological finding subacute combined degeneration consist patchy loss myelin dorsal lateral column patient present weakness leg arm trunk tingling numbness progressively worsens vision change change mental state may also present bilateral spastic paresis may develop pressure vibration touch sense diminished positive babinski sign may seen prolonged deficiency vitamin b 12 lead irreversible nervous system damage hivassociated vacuolar myelopathy present similar pattern dorsal column corticospinal tract demyelination
503,Schizophrenia,hallucination usually hearing voice delusion social isolation flat affect confused thinking
504,Schnitzler syndrome,typical onset around 55 year old symptom recurrent hive mostly torso limb often recurring fever joint pain bone pain muscle pain headache fatigue loss weight
505,Sciatica,pain going leg lower back weakness numbness affected leg
507,Allergic conjunctivitis,conjunctiva thin membrane cover eye allergen irritates conjunctiva common symptom occur eye include ocular itching eyelid swelling tearing photophobia watery discharge foreign body sensation pain
508,Seborrhoeic dermatitis,flaking dry greasy red itchy inflamed skin
509,Secondary hyperparathyroidism,bone joint pain common limb deformity elevated pth also pleiotropic effect blood immune system neurological system
511,Seizure,variable
512,Seizure,variable
513,Erectile dysfunction,inability gain maintain erection
515,Silent sinus syndrome,facial asymmetry vision problem headache
516,Sinusitis,thick nasal mucus plugged nose pain face fever sore throat frequent attack cough
517,Sjögren syndrome,dry mouth dry eye area dryness
518,Hives,red raised itchy bump
520,Dermatomyositis,rash muscle weakness weight loss fever
521,Fungal infection,common mild mycoses often present rash infection within skin skin may present lump skin change le common deeper fungal infection may present pneumonia like symptom meningitis
522,Necrotizing fasciitis,severe pain fever purple colored skin affected area
523,Chronic obstructive pulmonary disease,shortness breath chronic cough
525,Soft-tissue sarcoma,early stage softtissue sarcoma usually cause symptom soft tissue relatively elastic tumor grow rather large pushing aside normal tissue felt cause problem first noticeable symptom usually painless lump swelling tumor grows may cause symptom pain soreness press nearby nerve muscle abdomen cause abdominal pain commonly mistaken menstrual cramp indigestion cause constipation
527,Axial spondyloarthritis,axial spondyloarthritis predominantly marked inflammatory pain andor stiffness affecting lower back hip andor buttock side affected may alternate may also experience symptom eye rib cage shoulder cervical spine neck well inflammatory back pain tends come gradually become worse night period rest morning waking improve exercise use antiinflammatory medication ibuprofen people axial spondyloarthritis may experience alternating period remission flareups
529,Cutaneous squamous-cell carcinoma,hard lump scaly top ulceration
530,Status epilepticus,regular pattern contraction extension arm leg movement one part body unresponsive
