,Disease,Prescribed_for,DrugName_list
114,Hereditary spastic paraplegia,Chronic Spasticity,['Baclofen']
115,Anaerobic infection,Clostridial Infection,"['Metronidazole', 'Flagyl', 'Dificid']"
116,Cluster headache,Cluster Headaches,"['Indomethacin', 'Tizanidine', 'Verapamil', 'Sumatriptan', 'Sansert', 'Lithium', 'Prednisone', 'Cyproheptadine', 'Imitrex', 'Cafergot', 'Zanaflex', 'Deltasone', 'Dihydroergotamine', 'Migranal', 'Caffeine / ergotamine']"
117,Coccidioidomycosis,Coccidioidomycosis,['Itraconazole']
118,Cold sore,Cold Sores,"['Valacyclovir', 'Penciclovir', 'Denavir', 'Famciclovir', 'Benzocaine', 'Famvir', 'Acyclovir', 'Valtrex', 'Sitavig', 'Zovirax Cream', 'Orajel']"
119,Common cold,Cold Symptoms,"['Bronkaid', 'Tussionex Pennkinetic', 'Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine', 'Acetaminophen / dextromethorphan / pseudoephedrine', 'Echinacea', 'Dexbrompheniramine / pseudoephedrine', 'Acetaminophen / chlorpheniramine / phenylephrine', 'Brompheniramine', 'Acetaminophen / dextromethorphan / guaifenesin / phenylephrine', 'Pseudoephedrine / triprolidine', 'R-Tanna', 'Chlorpheniramine / phenylephrine', 'Codimal DM', 'Acetaminophen / chlorpheniramine', 'Tylenol Allergy Multi-Symptom Nighttime', 'Rynatan', 'Alka-Seltzer Plus Cold', 'Primatene', 'Chlorpheniramine / hydrocodone', 'Dextromethorphan / phenylephrine / pyrilamine']"
120,,Colorectal Cance,['Regorafenib']
121,,Computed Tomography,['Barium sulfate']
122,Genital wart,Condylomata Acuminata,"['Podofilox', 'Condylox']"
123,Conjunctivitis,Conjunctivitis,"['Sulfacetamide sodium', 'Zymar', 'Dexamethasone']"
124,Allergic conjunctivitis,"Conjunctivitis, Allergic","['Sterapred', 'Ketotifen', 'Bepotastine', 'Lastacaft', 'Azelastine', 'Bepreve', 'Alcaftadine', 'Zaditor']"
125,Conjunctivitis,"Conjunctivitis, Bacterial","['TobraDex', 'Polymyxin b / trimethoprim', 'Tobramycin', 'Moxifloxacin', 'Vigamox', 'Loteprednol / tobramycin', 'Neo-Poly-Dex', 'Dexamethasone / neomycin / polymyxin b', 'Moxeza']"
126,Constipation,Constipation,"['Magnesium citrate', 'Bisacodyl', ""Phillips' Milk of Magnesia"", 'Dulcolax', 'Milk of Magnesia', 'Linaclotide', 'Linzess', 'Fleet Enema', 'Polyethylene glycol 3350', 'Senna', 'Correctol', 'MiraLax', 'Fleet Phospho Soda', 'Polycarbophil', 'Magnesium hydroxide', 'Metamucil', 'Psyllium', 'Senokot', 'Sodium biphosphate / sodium phosphate', 'Fleet Bisacodyl', 'Sorbitol', 'Magnesium oxide', 'Glycerin', 'Ex-Lax Regular Strength Pills', 'Doxidan Tablet', 'ClearLax', 'Amitiza', 'Citrate of Magnesia', 'Colace', 'Dulcolax Laxative', 'Feen-A-Mint', 'FiberCon']"
127,Constipation,"Constipation, Acute","['MiraLax', 'Lactulose', 'Senna Plus', 'Docusate / senna', 'Polyethylene glycol 3350', 'ClearLax', 'Senokot S']"
128,Constipation,"Constipation, Chronic","['Linzess', 'Linaclotide', 'Lubiprostone', 'Zelnorm', 'Amitiza', 'Tegaserod', 'Polyethylene glycol 3350 with electrolytes', 'Lactulose', 'Relistor', 'Generlac', 'GaviLyte-G']"
129,Constipation,"Constipation, Drug Induced","['Relistor', 'Methylnaltrexone', 'Naloxegol', 'Movantik', 'Amitiza', 'Lubiprostone']"
130,Astigmatism,Corneal Refractive Surgery,"['Ketorolac', 'Acular LS']"
131,Costochondritis,Costochondritis,['Naproxen']
132,Whooping cough,Cough,"['Benzonatate', 'Tessalon Perles', 'Codeine / guaifenesin', 'Dextromethorphan', 'Lortab', 'Hycodan', 'Chlorpheniramine / hydrocodone', 'Delsym', 'Tussionex Pennkinetic', 'Homatropine / hydrocodone', 'Dextromethorphan / guaifenesin', 'Hydromet', 'Mucinex DM', 'Tylenol with Codeine #3', 'Iophen-C NR', 'Amitriptyline', 'Cheratussin AC', 'Codeine / promethazine', 'Acetaminophen / codeine', 'Acetaminophen / hydrocodone', 'Tessalon', 'Codeine', 'Guaifenesin', 'TussiCaps', 'Gabapentin', 'Robitussin Cough + Chest Congestion DM', 'Guaifenesin / hydrocodone', 'Dextromethorphan / promethazine', 'Mucinex']"
133,Rhinovirus,Cough and Nasal Congestion,"['Guaifenesin / pseudoephedrine', 'Q-Tapp DM', 'Chlorpheniramine / hydrocodone / pseudoephedrine', 'Zutripro', 'Bromfed DM', 'Mucinex D Maximum Strength', 'Mucinex D', 'Brompheniramine / dextromethorphan / pseudoephedrine', 'Chlorpheniramine / dextromethorphan / pseudoephedrine', 'Chlorpheniramine / dextromethorphan', 'Sildec-PE DM', 'Chlorpheniramine / dextromethorphan / phenylephrine', 'Dextromethorphan / guaifenesin / pseudoephedrine', 'Coricidin HBP Cough & Cold', 'Chlorpheniramine / hydrocodone / phenylephrine', 'Hydrocodone / pseudoephedrine', 'Maxifed DM', 'Rezira']"
134,Crohn's disease,Crohn's Disease,"['Pentasa', 'Entyvio', 'Adalimumab', 'Entocort EC', 'Levsin SL', 'Azathioprine', 'Apriso', 'Ustekinumab', 'Cimzia', 'Questran Light', 'Balsalazide', 'Canasa', 'Stelara', 'Certolizumab', 'Humira', 'Mesalamine', 'Cholestyramine', 'Tacrolimus', 'Asacol', 'Sulfasalazine', 'Hyoscyamine', 'Vedolizumab', 'Infliximab']"
135,Crohn's disease,"Crohn's Disease, Acute","['Metronidazole', 'Cimzia', 'Mercaptopurine', 'Adalimumab', 'Imuran']"
136,Inflammatory bowel disease,"Crohn's Disease, Maintenance","['Mesalamine', 'Remicade', 'Adalimumab', 'Pentasa', 'Azathioprine', 'Humira', 'Cimzia', 'Entocort EC', 'Certolizumab', 'Asacol HD', 'Infliximab', 'Imuran', 'Mercaptopurine']"
137,Candidiasis,Cutaneous Candidiasis,"['Nyamyc', 'Xolegel', 'Nystatin / triamcinolone', 'Mycolog II', 'Clotrimazole', 'Nystop', 'Ketoconazole']"
138,Cutaneous T-cell lymphoma,Cutaneous T-cell Lymphoma,['Targretin']
139,Cyclic vomiting syndrome,Cyclic Vomiting Syndrome,"['Amitriptyline', 'Sumatriptan']"
140,Uveitis,Cyclitis,['Lotemax']
141,,Cyclothymic Disorde,['Lamotrigine']
142,Cystic fibrosis,Cystic Fibrosis,"['Creon', 'Kalydeco', 'Zithromax', 'Pulmozyme', 'Ivacaftor']"
143,Dandruff,Dandruff,"['Sebulex', 'Pyrithione zinc']"
144,Anaerobic infection,Deep Neck Infection,"['Clindamycin', 'Piperacillin / tazobactam']"
145,Deep vein thrombosis,Deep Vein Thrombosis,"['Xarelto', 'Enoxaparin', 'Rivaroxaban', 'Lovenox', 'Tinzaparin']"
146,Deep vein thrombosis,Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,['Rivaroxaban']
147,Deep vein thrombosis,"Deep Vein Thrombosis, First Event",['Warfarin']
148,Deep vein thrombosis,"Deep Vein Thrombosis, Prophylaxis","['Lovenox', 'Enoxaparin', 'Rivaroxaban']"
149,Deep vein thrombosis,"Deep Vein Thrombosis, Recurrent Event","['Warfarin', 'Coumadin']"
150,Dental abscess,Dental Abscess,"['Amoxicillin', 'Metronidazole', 'Biaxin']"
151,Depression (mood),Depression,"['Mirtazapine', 'Escitalopram', 'Venlafaxine', 'Bupropion', 'Effexor XR', 'Pristiq', 'Vilazodone', 'Lexapro', 'Desvenlafaxine', 'Viibryd', 'Serzone', 'Trintellix', 'Budeprion SR', 'Tramadol', 'Wellbutrin', 'Fetzima', 'Xanax', 'Citalopram', 'Duloxetine', 'Celexa', 'Sertraline', 'Zoloft', 'Cymbalta', 'Risperidone', 'Paroxetine', 'Niacin', 'Fluoxetine', 'Effexor', 'Paxil', 'Emsam', 'Pamelor', 'Seroquel', 'Wellbutrin XL', 'Aripiprazole', 'Selegiline', 'Prozac', 'Deplin', 'Vortioxetine', 'Wellbutrin SR', 'Nefazodone', 'Lithium', 'Armodafinil', 'L-methylfolate', ""St. john's wort"", 'Trazodone', 'Brexpiprazole', 'Seroquel XR', 'Abilify Discmelt', 'Elavil', 'Norpramin', 'Parnate', 'Modafinil', 'Alprazolam', 'Tranylcypromine', 'Phenelzine', 'Desipramine', 'Remeron', 'Quetiapine', 'Rexulti', 'Abilify', 'Levomilnacipran', 'Zyprexa', 'Fluvoxamine', 'Trimipramine', 'Amoxapine', 'Nardil', 'Lamotrigine', 'Budeprion XL', 'Provigil', 'Paxil CR', 'Amitriptyline', 'Methylphenidate', 'Olanzapine', 'Imipramine', 'Limbitrol DS', 'Aplenzin', 'Fluoxetine / olanzapine', 'Symbyax', 'Risperdal', 'Amitriptyline / chlordiazepoxide', 'Doxepin', 'Tryptophan', 'Tofranil', 'Oleptro', 'Forfivo XL', 'Nortriptyline', 'Atomoxetine', 'Prozac Weekly', 'Strattera', 'Ritalin', 'Nuvigil', 'Clomipramine', 'Risperdal M-Tab', 'Invega', 'Amitriptyline / perphenazine', 'Maprotiline']"
152,Dercum's disease,Dercum's Disease,['Fentanyl']
153,Dermatitis,Dermatitis,"['Pramosone', 'Synalar Ointment', 'Halobetasol', 'Desonide', 'Elocon', 'Clobetasol', 'Fluocinonide', 'Cloderm', 'Orapred', 'Amcinonide', 'Triamcinolone', 'Sodium hyaluronate', 'Lidex', 'Kenalog-40', 'Clocortolone', 'Kenalog', 'Aristocort A', 'Locoid Lipocream', 'RadiaPlexRx', 'Prednisolone', 'Fluocinolone']"
154,Janeway lesion,Dermatologic Lesion,"['Methylprednisolone', 'Granulex', 'Xenaderm', 'Balsam peru / castor oil / trypsin', 'Zinc oxide']"
155,Psoriasis,Dermatological Disorders,"['Benzoic acid / salicylic acid', 'Celestone', 'Silver', 'Hydroquinone', 'Salicylic acid', 'Bensal HP', 'Urea', 'X-Viate', 'Olux', 'Luxiq', 'Triamcinolone']"
156,Dermatomyositis,Dermatomyositis,['Mycophenolate mofetil']
157,Dermatophytosis,Dermatophytosis,['Griseofulvin']
158,Diabetes insipidus,Diabetes Insipidus,"['DDAVP Rhinal Tube', 'DDAVP', 'Desmopressin', 'Hydrochlorothiazide']"
159,Type 1 diabetes,"Diabetes, Type 1","['Afrezza', 'Humulin N', 'Lantus', 'Octreotide', 'Insulin inhalation', ' rapid acting', 'Tresiba', 'Sandostatin LAR Depot', 'Humulin R U-500 (Concentrated)', 'Insulin degludec', 'Novolog', 'NovoLog Mix 70 / 30', 'Insulin glargine', 'Insulin regular', 'Symlin', 'Victoza', 'Humalog']"
160,Type 2 diabetes,"Diabetes, Type 2","['Liraglutide', 'Glyburide', 'Canagliflozin', 'Dulaglutide', 'Exubera', 'Dapagliflozin', 'Glucophage', 'Empagliflozin / linagliptin', 'Pioglitazone', 'Victoza', 'Metformin', 'Exenatide', 'Invokana', 'Farxiga', 'Trulicity', 'Bydureon', 'Jardiance', 'Amaryl', 'Glimepiride / rosiglitazone', 'Tanzeum', 'Jentadueto', 'Glimepiride', 'Lantus', 'Synjardy', 'Insulin glulisine', 'Kombiglyze XR', 'NovoLog FlexPen', 'Januvia', 'Actos', 'Janumet', 'Insulin glargine', 'Insulin detemir', 'Sitagliptin', 'Glipizide', 'Byetta', 'Tradjenta', 'Insulin aspart / insulin degludec', 'Chromium picolinate', 'Tresiba', 'Empagliflozin', 'Insulin isophane', 'Humulin R U-500 (Concentrated)', 'Repaglinide', 'Toujeo', 'Insulin regular', 'Toujeo Solostar', 'Linagliptin', 'Insulin degludec', 'Insulin inhalation', ' rapid acting', 'Albiglutide', 'Acarbose', 'Metformin / sitagliptin', 'Prandin', 'ActoPlus Met', 'Apidra', 'Afrezza', 'Glucotrol', 'Onglyza', 'Levemir', 'Novolin 70 / 30', 'Miglitol', 'Novolog', 'Colesevelam', 'Glyxambi', 'Saxagliptin', 'Humalog KwikPen', 'Glucophage XR', 'Insulin aspart', 'Lantus Solostar', 'Pramlintide']"
161,Diabetic nephropathy,Diabetic Kidney Disease,"['Avapro', 'Ramipril', 'Losartan']"
162,Diabetic retinopathy,Diabetic Macular Edema,"['Aflibercept', 'Eylea']"
163,Diabetic neuropathy,Diabetic Peripheral Neuropathy,"['Gabapentin', 'Cymbalta', 'Nucynta ER', 'Tapentadol', 'Lyrica', 'Duloxetine', 'Pregabalin', 'Nortriptyline', 'Topiramate', 'Capsaicin']"
164,Rectal prolapse,Diagnosis and Investigation,"['Lexiscan', 'Regadenoson', 'Tilmanocept', 'Lymphoseek']"
165,,Diaper Rash,"['Miconazole / zinc oxide', 'Menthol / zinc oxide', 'Calmoseptine']"
166,Diarrhea,Diarrhea,"['Imodium A-D', 'Lomotil', 'Loperamide', 'Opium', 'Rifaximin', 'Atropine / diphenoxylate', 'Bismuth subsalicylate', 'Paregoric', 'Opium Deodorized', 'Anti-Diarrheal', 'Florastor', 'Octreotide', 'Pepto-Bismol', 'Lotronex', 'Saccharomyces boulardii lyo', 'Xifaxan', 'Imodium', 'Sandostatin', 'Lonox']"
167,Gastroenteritis,"Diarrhea, Acute","['Loperamide', 'Imodium A-D', 'Imodium']"
168,Diarrhea,"Diarrhea, Chronic","['Colesevelam', 'Welchol', 'Imodium A-D', 'Atropine / difenoxin', 'Loperamide', 'Imodium', 'Motofen']"
169,Anismus,Dietary Fiber Supplementation,['Metamucil']
170,Chromium deficiency,Dietary Supplementation,"['Biotin', 'Ubiquinone', 'Ortho D', 'Chondroitin / glucosamine', 'Multivitamin', 'Magnesium aspartate', 'Glucose', 'CoQ10']"
171,,Dissociative Identity Disorde,['Venlafaxine']
172,Diverticulitis,Diverticulitis,"['Metronidazole', 'Flagyl', 'Cipro', 'Sulfamethoxazole / trimethoprim', 'Ciprofloxacin']"
173,Dry eye syndrome,Dry Eye Disease,"['Xiidra', 'Lifitegrast', 'Ocular lubricant']"
174,Xeroderma,Dry Skin,"['Urea', 'Lac-Hydrin', 'Emollients', 'Ammonium lactate', 'EpiCeram', 'Lactic acid', 'AmLactin', 'Kerafoam', 'Carmol 20']"
175,Dumping syndrome,Dumping Syndrome,['Cholestyramine']
176,,Duodenal Ulce,"['Donnatal', 'Sucralfate', 'Atropine / hyoscyamine / phenobarbital / scopolamine', 'Pantoprazole']"
177,Dysautonomia,Dysautonomia,"['Midodrine', 'Pyridostigmine', 'Alprazolam', 'Mestinon']"
178,Dyspareunia,Dyspareunia,"['Ospemifene', 'Osphena']"
179,Dystonia,Dystonia,"['Botox', 'Baclofen']"
180,Hemorrhagic cystitis,Dysuria,"['Phenazopyridine', 'Uricalm', 'Azo-Standard', 'Pyridium', 'Urispas']"
181,Ear pain,Ear Wax Impaction,['Carbamide peroxide']
182,Dermatitis,Eczema,"['Mometasone', 'Elocon', 'Imuran', 'Halobetasol', 'Dupilumab', 'Hydrocortisone', 'Pimecrolimus', 'Desoximetasone', 'Desonide', 'Diflorasone', 'DesOwen', 'Cloderm', 'Elidel', 'Locoid Lipocream', 'Dupixent', 'Prednisone', 'Dexamethasone', 'Dermatop']"
183,Edema,Edema,"['Lasix', 'Furosemide', 'Hydrochlorothiazide / triamterene', 'Spironolactone', 'Dyrenium', 'Demadex', 'Aldactazide', 'Bumetanide', 'Acetazolamide', 'Pamabrom', 'Metolazone', 'Zaroxolyn', 'Edecrin', 'Triamterene', 'Chlorthalidone', 'Hydrochlorothiazide']"
184,Ehrlichiosis,Ehrlichiosis,['Doxycycline']
185,,Emergency Contraception,"['Levonorgestrel', 'Plan B One-Step', 'ella', 'Plan B', 'Next Choice', 'Aftera', 'My Way', 'Ulipristal', 'Take Action', 'Opcicon One-Step']"
186,Gestational diabetes,Endometrial Cance,"['Megestrol', 'Anastrozole']"
187,Endometrial cancer,Endometrial Hyperplasia,"['Megace', 'Megestrol']"
188,Endometriosis,Endometriosis,"['Cryselle', 'Depo-Provera', 'Ethinyl estradiol / norgestrel', 'Zoladex', 'Medroxyprogesterone', 'Lupron Depot', 'LoSeasonique', 'Goserelin', 'Jolessa', 'Seasonique', 'Ethinyl estradiol / levonorgestrel', 'Loestrin 24 Fe', 'Lutera', 'Ortho Cyclen', 'Leuprolide', 'Norethindrone', 'Ortho Tri-Cyclen Lo', 'Ethinyl estradiol / norethindrone', 'Synarel', 'Necon 1 / 35', 'Microgestin 1 / 20', 'Etonogestrel', 'Sprintec', 'Ortho Micronor', 'Ethinyl estradiol / norgestimate', 'Lupron', 'Provera', 'Ethinyl estradiol / ethynodiol', 'Levora', 'Ovcon 35', 'Microgestin Fe 1 / 20', 'Junel Fe 1 / 20', 'Ortho-Novum 7 / 7 / 7', 'Aviane']"
189,Enterocolitis,Enterocolitis,['Atropine / hyoscyamine / phenobarbital / scopolamine']
190,Eosinophilic esophagitis,Eosinophilic Esophagitis,['Entocort EC']
191,Epididymitis,"Epididymitis, Sexually Transmitted",['Ciprofloxacin']
192,Epilepsy,Epilepsy,"['Dilantin', 'Tegretol', 'Levetiracetam', 'Divalproex sodium', 'Carbamazepine', 'Phenytoin', 'Mephobarbital', 'Carbatrol', 'Depakote ER', 'Neurontin', 'Keppra', 'Lamictal', 'Lamotrigine', 'Pregabalin', 'Valproic acid', 'Fycompa', 'Keppra XR', 'Gabapentin', 'Depakote', 'Felbamate', 'Perampanel', 'Felbatol', 'Tegretol XR', 'Mebaral']"
193,Erectile dysfunction,Erectile Dysfunction,"['Vardenafil', 'Cialis', 'Tadalafil', 'Viagra', 'Levitra', 'Sildenafil', 'Stendra', 'Alprostadil', 'Avanafil', 'Edex', 'Muse', 'Staxyn', 'Yohimbine', 'Caverject']"
194,Esophagitis,Erosive Esophagitis,"['Kapidex', 'Rabeprazole', 'Dexilant', 'Dexlansoprazole', 'Nexium', 'Pantoprazole', 'Prevacid', 'Zegerid', 'Protonix', 'Zantac', 'Omeprazole', 'Aciphex', 'Esomeprazole']"
195,Esophageal varices,Esophageal Variceal Hemorrhage Prophylaxis,['Nadolol']
196,Plastic bronchitis,Expectoration,['Acetylcysteine']
197,Bloating,Extrapyramidal Reaction,"['Diphenhydramine', 'Trihexyphenidyl', 'Artane', 'Cogentin', 'Benztropine']"
198,Episcleritis,Eye Redness,"['Ocular lubricant', 'GenTeal', 'FreshKote', 'Fluorometholone', 'TheraTears', 'Systane Ultra', 'Tears Again']"
199,Conjunctivitis,Eye Redness/Itching,"['Naphazoline / pheniramine', 'Visine-A', 'Opcon-A']"
200,Monilethrix,Eyelash Hypotrichosis,"['Bimatoprost', 'Latisse']"
201,Gastroesophageal reflux disease,GERD,"['Nexium', 'Esomeprazole', 'Lansoprazole', 'Prevacid', 'Pantoprazole', 'Rabeprazole', 'Prilosec', 'Aciphex', 'Omeprazole', 'Kapidex', 'Dexlansoprazole', 'Ranitidine', 'Dexilant', 'Prilosec OTC', 'Zantac 150', 'Sucralfate', 'Protonix', 'Famotidine', 'Omeprazole / sodium bicarbonate', 'Nizatidine', 'Zegerid OTC', 'Axid AR', 'Metoclopramide', 'Aluminum hydroxide / magnesium hydroxide / simethicone', 'Zantac', 'Calcium carbonate', 'Axid', 'Zegerid']"
202,Gallbladder disease,Gallbladder Disease,['Ursodiol']
203,,Gas,"['E-Z-Gas II', 'Gas-X', 'Di-Gel', 'Bismuth subgallate', 'Simethicone']"
204,Colitis,Gastric Ulcer Maintenance Treatment,['Ranitidine']
205,Gastritis,Gastritis/Duodenitis,['Pantoprazole']
206,Gastroenteritis,Gastroenteritis,"['Ondansetron', 'Zofran']"
207,Paracetamol poisoning,Gastrointestinal Decontamination,"['MoviPrep', 'Polyethylene glycol 3350 with electrolytes']"
208,Gastrointestinal bleeding,Gastrointestinal Hemorrhage,"['Omeprazole / sodium bicarbonate', 'Zegerid']"
209,,Gastrointestinal Stromal Tum,"['Imatinib', 'Gleevec']"
210,Gastroparesis,Gastroparesis,"['Metoclopramide', 'Metozolv ODT', 'Reglan']"
211,Gender dysphoria,Gender Dysphoria,['Testosterone']
212,,Generalized Anxiety Disorde,"['Pregabalin', 'Escitalopram', 'Quetiapine', 'Lexapro', 'Paroxetine', 'Paxil', 'Effexor XR', 'Sertraline', 'Duloxetine', 'Citalopram', 'Cymbalta', 'Paxil CR', 'Venlafaxine', 'Lyrica', 'Seroquel', 'Celexa']"
213,Giant-cell tumor of bone,Giant Cell Tumor of Bone,['Xgeva']
214,Giardiasis,Giardiasis,"['Metronidazole', 'Tinidazole']"
215,Gingivitis,Gingivitis,['Chlorhexidine']
216,Glaucoma,Glaucoma,"['Brimonidine / timolol', 'Acetazolamide', 'Diamox']"
217,Glaucoma,"Glaucoma, Open Angle","['Zioptan', 'Simbrinza', 'Latanoprost', 'Trusopt', 'Cosopt PF', 'Travatan', 'Timolol', 'Dorzolamide / timolol', 'Lumigan', 'Xalatan']"
218,Breast cancer,Glioblastoma Multi,['Bevacizumab']
219,Glioblastoma,Glioblastoma Multiforme,['Avastin']
220,Urinary tract infection,"Gonococcal Infection, Uncomplicated","['Azithromycin', 'Ceftriaxone']"
221,Gout,Gout,"['Uloric', 'Allopurinol', 'Febuxostat', 'Krystexxa', 'Probenecid', 'Lesinurad', 'Pegloticase']"
222,Gout,"Gout, Acute","['Indomethacin', 'Methylprednisolone', 'Aleve', 'Colchicine', 'Naproxen', 'Colcrys', 'Indocin', 'Ibuprofen', 'Advil']"
223,Gout,Gouty Arthritis,"['Prednisone', 'Dexamethasone']"
224,HIV/AIDS,HIV Infection,"['Genvoya', 'Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide', 'Abacavir / dolutegravir / lamivudine', 'Efavirenz', 'Cobicistat / elvitegravir / emtricitabine / tenofovir', 'Intelence', 'Atripla', 'Triumeq', 'Complera', 'Stribild', 'Efavirenz / emtricitabine / tenofovir', 'Emtricitabine / tenofovir', 'Raltegravir', 'Abacavir / lamivudine', 'Tivicay', 'Truvada', 'Dolutegravir', 'Emtricitabine / rilpivirine / tenofovir', 'Isentress', 'Epzicom', 'Prezista', 'Odefsey', 'Darunavir', 'Prezcobix', 'Kaletra', 'Enfuvirtide', 'Cobicistat / darunavir']"
225,Hashimoto's thyroiditis,Hashimoto's disease,"['Nature-Throid', 'Thyroid desiccated', 'Levothyroxine', 'Tirosint', 'Armour Thyroid', 'Synthroid', 'Westhroid', 'NP Thyroid']"
226,Head injury,Head Injury,['Amantadine']
227,Head lice infestation,Head Lice,"['Sklice', 'Ivermectin', 'Ovide', 'Natroba', 'Stromectol', 'Malathion', 'Spinosad']"
228,Cluster headache,Headache,"['Acetaminophen / butalbital / caffeine', 'Acetaminophen / dichloralphenazone / isometheptene mucate', 'Fioricet', 'Aspirin / butalbital / caffeine', 'Fiorinal with Codeine', 'Esgic', 'Fioricet with Codeine', 'Acetaminophen / butalbital / caffeine / codeine', 'Esgic-Plus', 'Naproxen', 'Acetaminophen / butalbital', 'Acetaminophen / caffeine', 'Ibuprofen', 'Fiorinal', 'Prodrin', 'Acetaminophen / phenyltoloxamine', 'Acetaminophen / caffeine / isometheptene mucate', 'Advil', 'Aspirin / butalbital / caffeine / codeine', 'Excedrin Quick Tab', 'Excedrin Tension Headache', 'Motrin']"
229,Myocardial infarction,Heart Attack,"['Metoprolol', 'Plavix', 'Aspirin', 'Clopidogrel', 'Bayer Aspirin', 'Lisinopril', 'Metoprolol Tartrate', 'Altace', 'Nitroglycerin']"
230,Heart failure,Heart Failure,"['Carvedilol', 'Sacubitril / valsartan', 'Entresto', 'Corlanor', 'Digoxin', 'Bisoprolol', 'Furosemide', 'Toprol-XL', 'Metoprolol', 'Coreg CR', 'Quinapril', 'Aldactone', 'Coreg', 'Lisinopril']"
231,Helicobacter pylori,Helicobacter Pylori Infection,"['Pylera', 'Bismuth subcitrate potassium / metronidazole / tetracycline', 'Amoxicillin / clarithromycin / lansoprazole', 'Clarithromycin', 'Prevpac', 'Omeprazole', 'Metronidazole', 'Esomeprazole', 'Biaxin', 'Nexium', 'Tetracycline']"
232,Haemophilia,Hemophilia A,['Antihemophilic factor']
233,Haemophilia B,Hemophilia B,['Coagulation factor ix']
234,Hemorrhoid,Hemorrhoids,"['Lidocaine', 'Pramoxine', 'Proctofoam', 'Hydrocortisone', 'Analpram-HC', 'Hydrocortisone / pramoxine', 'Anucort-HC', 'Proctosol-HC', 'Phenylephrine / pramoxine']"
235,Hepatic encephalopathy,Hepatic Encephalopathy,"['Xifaxan', 'Lactulose', 'Rifaximin']"
236,Hepatitis B,Hepatitis B,"['Tenofovir', 'Viread']"
237,Hepatitis C,Hepatitis C,"['Sovaldi', 'Harvoni', 'Sofosbuvir', 'Ledipasvir / sofosbuvir', 'Daklinza', 'Incivek', 'Zepatier', 'Epclusa', 'Daclatasvir', 'Telaprevir', 'Peginterferon alfa-2a', 'Sofosbuvir / velpatasvir', 'Elbasvir / grazoprevir', 'Moderiba', 'Olysio', 'Ribasphere', 'Ribavirin', 'Pegasys']"
238,Hepatocellular carcinoma,Hepatocellular Carcinoma,['Sorafenib']
239,Altitude sickness,Herbal Supplementation,"['Milk thistle', 'Chaparral', 'Ginseng', 'Fenugreek', 'Guarana']"
240,Hereditary angioedema,Hereditary Angioedema,"['Cinryze', 'Firazyr', 'Kalbitor', 'Icatibant', 'Berinert']"
241,Herpes,Herpes Simplex,"['Docosanol', 'Zovirax', 'Lysine', 'Abreva', 'Acyclovir', 'Blistex']"
242,Herpes simplex keratitis,Herpes Simplex Dendritic Keratitis,['Zirgan']
243,Candidiasis,"Herpes Simplex, Mucocutaneous/Immunocompetent Host","['Valtrex', 'Famciclovir', 'Famvir', 'Valacyclovir']"
244,Herpes,"Herpes Simplex, Mucocutaneous/Immunocompromised Host",['Valacyclovir']
245,Herpes esophagitis,"Herpes Simplex, Suppression","['Lysine', 'Valacyclovir', 'Valtrex', 'Zovirax', 'Acyclovir']"
246,,Herpes Zoste,"['Acyclovir', 'Valacyclovir', 'Valtrex', 'Famvir']"
247,Herpes esophagitis,"Herpes Zoster, Prophylaxis",['Zoster vaccine live']
248,Hiccup,Hiccups,"['Gabapentin', 'Baclofen', 'Chlorpromazine', 'Thorazine']"
249,Hidradenitis suppurativa,Hidradenitis Suppurativa,['Adalimumab']
