Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
Diabetes Insipidus,"DDAVP Rhinal Tube,DDAVP,Desmopressin,Hydrochlorothiazide",Diabetes insipidus,"Large amounts of dilute urine, increased thirst",47,4,large amount dilute urine increased thirst
"Diabetes, Type 1","Afrezza,Humulin N,Lantus,Octreotide,Insulin inhalation, rapid acting,Tresiba,Sandostatin LAR Depot,Humulin R U-500 (Concentrated),Insulin degludec,Novolog,NovoLog Mix 70 / 30,Insulin glargine,Insulin regular,Symlin,Victoza,Humalog",Type 1 diabetes,"Frequent urination , increased thirst , increased hunger , weight loss , blurred vision , fatigue and weakness , Bed-wetting in children who previously didn't wet the bed during the night",187,16,frequent urination increased thirst increased hunger weight loss blurred vision fatigue weakness bedwetting child previously didnt wet bed night
"Diabetes, Type 2","Liraglutide,Glyburide,Canagliflozin,Dulaglutide,Exubera,Dapagliflozin,Glucophage,Empagliflozin / linagliptin,Pioglitazone,Victoza,Metformin,Exenatide,Invokana,Farxiga,Trulicity,Bydureon,Jardiance,Amaryl,Glimepiride / rosiglitazone,Tanzeum,Jentadueto,Glimepiride,Lantus,Synjardy,Insulin glulisine,Kombiglyze XR,NovoLog FlexPen,Januvia,Actos,Janumet,Insulin glargine,Insulin detemir,Sitagliptin,Glipizide,Byetta,Tradjenta,Insulin aspart / insulin degludec,Chromium picolinate,Tresiba,Empagliflozin,Insulin isophane,Humulin R U-500 (Concentrated),Repaglinide,Toujeo,Insulin regular,Toujeo Solostar,Linagliptin,Insulin degludec,Insulin inhalation, rapid acting,Albiglutide,Acarbose,Metformin / sitagliptin,Prandin,ActoPlus Met,Apidra,Afrezza,Glucotrol,Onglyza,Levemir,Novolin 70 / 30,Miglitol,Novolog,Colesevelam,Glyxambi,Saxagliptin,Humalog KwikPen,Glucophage XR,Insulin aspart,Lantus Solostar,Pramlintide",Type 2 diabetes,"Increased thirst , frequent urination , unexplained weight loss , increased hunger",82,70,increased thirst frequent urination unexplained weight loss increased hunger
Diabetic Kidney Disease,"Avapro,Ramipril,Losartan",Diabetic nephropathy,"Albuminuria , peripheral edema , high blood pressure, tiredness",63,3,albuminuria peripheral edema high blood pressure tiredness
Diabetic Macular Edema,"Aflibercept,Eylea",Diabetic retinopathy,"Often asymptomatic, but can cause spots in the eye and vision loss.",67,2,often asymptomatic cause spot eye vision loss
Diabetic Peripheral Neuropathy,"Gabapentin,Cymbalta,Nucynta ER,Tapentadol,Lyrica,Duloxetine,Pregabalin,Nortriptyline,Topiramate,Capsaicin",Diabetic neuropathy,"['Diabetic neuropathy can affect any peripheral nerves including sensory neurons ', 'motor neurons ', 'and the autonomic nervous system . Therefore', 'diabetic neuropathy has the potential to affect essentially any organ system and can cause a range of symptoms. There are several distinct syndromes based on the organ systems affected.']",338,10,diabetic neuropathy affect peripheral nerve including sensory neuron motor neuron autonomic nervous system therefore diabetic neuropathy potential affect essentially organ system cause range symptom several distinct syndrome based organ system affected
Diagnosis and Investigation,"Lexiscan,Regadenoson,Tilmanocept,Lymphoseek",Rectal prolapse,,0,4,
Diaper Rash,"Miconazole / zinc oxide,Menthol / zinc oxide,Calmoseptine",,nan,3,3,nan
Diarrhea,"Imodium A-D,Lomotil,Loperamide,Opium,Rifaximin,Atropine / diphenoxylate,Bismuth subsalicylate,Paregoric,Opium Deodorized,Anti-Diarrheal,Florastor,Octreotide,Pepto-Bismol,Lotronex,Saccharomyces boulardii lyo,Xifaxan,Imodium,Sandostatin,Lonox",Diarrhea,"Loose frequent bowel movements, dehydration",43,19,loose frequent bowel movement dehydration
"Diarrhea, Acute","Loperamide,Imodium A-D,Imodium",Gastroenteritis,"Diarrhea , vomiting , abdominal pain, fever",43,3,diarrhea vomiting abdominal pain fever
"Diarrhea, Chronic","Colesevelam,Welchol,Imodium A-D,Atropine / difenoxin,Loperamide,Imodium,Motofen",Diarrhea,"Loose frequent bowel movements, dehydration",43,7,loose frequent bowel movement dehydration
Dietary Fiber Supplementation,Metamucil,Anismus,['Symptoms include:'],21,1,symptom include
Dietary Supplementation,"Biotin,Ubiquinone,Ortho D,Chondroitin / glucosamine,Multivitamin,Magnesium aspartate,Glucose,CoQ10",Chromium deficiency,"['The claimed symptoms of chromium deficiency caused by long-term total parenteral nutrition are severely impaired glucose tolerance ', 'weight loss', 'peripheral neuropathy and confusion.']",190,8,claimed symptom chromium deficiency caused longterm total parenteral nutrition severely impaired glucose tolerance weight loss peripheral neuropathy confusion
Dissociative Identity Disorde,Venlafaxine,,nan,3,1,nan
Diverticulitis,"Metronidazole,Flagyl,Cipro,Sulfamethoxazole / trimethoprim,Ciprofloxacin",Diverticulitis,"Abdominal pain , fever , nausea , diarrhea , constipation , blood in the stool",78,5,abdominal pain fever nausea diarrhea constipation blood stool
Dry Eye Disease,"Xiidra,Lifitegrast,Ocular lubricant",Dry eye syndrome,"Dry eyes, irritation, redness , discharge, blurred vision",57,3,dry eye irritation redness discharge blurred vision
Dry Skin,"Urea,Lac-Hydrin,Emollients,Ammonium lactate,EpiCeram,Lactic acid,AmLactin,Kerafoam,Carmol 20",Xeroderma,"Low skin moisture, itching , scaling , skin cracking",52,9,low skin moisture itching scaling skin cracking
Dumping Syndrome,Cholestyramine,Dumping syndrome,['The symptoms of early and late dumping syndrome are different and vary from person to person. Early dumping syndrome symptoms may include:'],142,1,symptom early late dumping syndrome different vary person person early dumping syndrome symptom may include
Duodenal Ulce,"Donnatal,Sucralfate,Atropine / hyoscyamine / phenobarbital / scopolamine,Pantoprazole",,nan,3,4,nan
Dysautonomia,"Midodrine,Pyridostigmine,Alprazolam,Mestinon",Dysautonomia,"Anhidrosis or hyperhidrosis , blurry vision , tunnel vision , orthostatic hypotension , constipation , diarrhea , dysphagia , bowel incontinence , urinary retention or urinary incontinence , dizziness , Brain Fog , exercise intolerance , tachycardia , vertigo , weakness and pruritus .",285,4,anhidrosis hyperhidrosis blurry vision tunnel vision orthostatic hypotension constipation diarrhea dysphagia bowel incontinence urinary retention urinary incontinence dizziness brain fog exercise intolerance tachycardia vertigo weakness pruritus
Dyspareunia,"Ospemifene,Osphena",Dyspareunia,"['Those who experience pelvic pain upon attempted vaginal intercourse describe their pain in many ways. This reflects how many different and overlapping causes there are for dyspareunia. The location', 'nature', 'and time course of the pain help to understand potential causes and treatments.']",294,2,experience pelvic pain upon attempted vaginal intercourse describe pain many way reflects many different overlapping cause dyspareunia location nature time course pain help understand potential cause treatment
Dystonia,"Botox,Baclofen",Dystonia,"['Symptoms vary according to the kind of dystonia involved. In most cases', 'dystonia tends to lead to abnormal posturing', 'in particular on movement. Many individuals with the condition have continuous pain', 'cramping', 'and relentless muscle spasms due to involuntary muscle movements. Other motor symptoms are possible including lip smacking.']",349,2,symptom vary according kind dystonia involved case dystonia tends lead abnormal posturing particular movement many individual condition continuous pain cramping relentless muscle spasm due involuntary muscle movement motor symptom possible including lip smacking
Dysuria,"Phenazopyridine,Uricalm,Azo-Standard,Pyridium,Urispas",Hemorrhagic cystitis,"Hemorrhaging , hematuria , dysuria",34,5,hemorrhaging hematuria dysuria
Ear Wax Impaction,Carbamide peroxide,Ear pain,"['Ear pain can present in one or both ears. It may or may not be accompanied by other symptoms such as fever ', 'sensation of the world spinning ', 'ear itchiness', 'or a sense of fullness in the ear. The pain may or may not worsen with chewing. The pain may also be continuous or intermittent.']",296,1,ear pain present one ear may may accompanied symptom fever sensation world spinning ear itchiness sense fullness ear pain may may worsen chewing pain may also continuous intermittent
Eczema,"Mometasone,Elocon,Imuran,Halobetasol,Dupilumab,Hydrocortisone,Pimecrolimus,Desoximetasone,Desonide,Diflorasone,DesOwen,Cloderm,Elidel,Locoid Lipocream,Dupixent,Prednisone,Dexamethasone,Dermatop",Dermatitis,"Itchiness , red skin , rash",27,18,itchiness red skin rash
Edema,"Lasix,Furosemide,Hydrochlorothiazide / triamterene,Spironolactone,Dyrenium,Demadex,Aldactazide,Bumetanide,Acetazolamide,Pamabrom,Metolazone,Zaroxolyn,Edecrin,Triamterene,Chlorthalidone,Hydrochlorothiazide",Edema,"Skin which feels tight, area may feel heavy",43,16,skin feel tight area may feel heavy
Ehrlichiosis,Doxycycline,Ehrlichiosis,"Fever, chills, severe headaches, muscle aches, nausea, vomiting, diarrhea, loss of appetite, confusion, and splotchy or pinpoint rash. More severe symptoms include brain or nervous system damage, respiratory failure, uncontrollable bleeding, organ failure, and death.",267,1,fever chill severe headache muscle ache nausea vomiting diarrhea loss appetite confusion splotchy pinpoint rash severe symptom include brain nervous system damage respiratory failure uncontrollable bleeding organ failure death
Emergency Contraception,"Levonorgestrel,Plan B One-Step,ella,Plan B,Next Choice,Aftera,My Way,Ulipristal,Take Action,Opcicon One-Step",,nan,3,10,nan
Endometrial Cance,"Megestrol,Anastrozole",Gestational diabetes,Typically few symptoms,22,2,typically symptom
Endometrial Hyperplasia,"Megace,Megestrol",Endometrial cancer,"Vaginal bleeding , pain with urination or sexual intercourse , pelvic pain",74,2,vaginal bleeding pain urination sexual intercourse pelvic pain
Endometriosis,"Cryselle,Depo-Provera,Ethinyl estradiol / norgestrel,Zoladex,Medroxyprogesterone,Lupron Depot,LoSeasonique,Goserelin,Jolessa,Seasonique,Ethinyl estradiol / levonorgestrel,Loestrin 24 Fe,Lutera,Ortho Cyclen,Leuprolide,Norethindrone,Ortho Tri-Cyclen Lo,Ethinyl estradiol / norethindrone,Synarel,Necon 1 / 35,Microgestin 1 / 20,Etonogestrel,Sprintec,Ortho Micronor,Ethinyl estradiol / norgestimate,Lupron,Provera,Ethinyl estradiol / ethynodiol,Levora,Ovcon 35,Microgestin Fe 1 / 20,Junel Fe 1 / 20,Ortho-Novum 7 / 7 / 7,Aviane",Endometriosis,"Pelvic pain , infertility",25,34,pelvic pain infertility
Enterocolitis,Atropine / hyoscyamine / phenobarbital / scopolamine,Enterocolitis,[''],4,1,
Eosinophilic Esophagitis,Entocort EC,Eosinophilic esophagitis,"['EoE often presents with difficulty swallowing ', 'food impaction', 'stomach pains', 'regurgitation or vomiting ', 'and decreased appetite . Although the typical onset of EoE is in childhood', 'the disease can be found in all age groups', 'and symptoms vary depending on the age of presentation. In addition', 'young children with EoE may present with feeding difficulties and poor weight gain. It is more common in males', 'and affects both adults and children.']",465,1,eoe often present difficulty swallowing food impaction stomach pain regurgitation vomiting decreased appetite although typical onset eoe childhood disease found age group symptom vary depending age presentation addition young child eoe may present feeding difficulty poor weight gain common male affect adult child
"Epididymitis, Sexually Transmitted",Ciprofloxacin,Epididymitis,"Pain in the back of the testicle , swelling of the testicle, burning with urination , frequent urination",104,1,pain back testicle swelling testicle burning urination frequent urination
Epilepsy,"Dilantin,Tegretol,Levetiracetam,Divalproex sodium,Carbamazepine,Phenytoin,Mephobarbital,Carbatrol,Depakote ER,Neurontin,Keppra,Lamictal,Lamotrigine,Pregabalin,Valproic acid,Fycompa,Keppra XR,Gabapentin,Depakote,Felbamate,Perampanel,Felbatol,Tegretol XR,Mebaral",Epilepsy,"Periods of loss of consciousness, abnormal shaking, staring, change in vision, mood changes and/or other cognitive disturbances",127,24,period loss consciousness abnormal shaking staring change vision mood change andor cognitive disturbance
Erectile Dysfunction,"Vardenafil,Cialis,Tadalafil,Viagra,Levitra,Sildenafil,Stendra,Alprostadil,Avanafil,Edex,Muse,Staxyn,Yohimbine,Caverject",Erectile dysfunction,Inability to gain or maintain an erection,41,14,inability gain maintain erection
Erosive Esophagitis,"Kapidex,Rabeprazole,Dexilant,Dexlansoprazole,Nexium,Pantoprazole,Prevacid,Zegerid,Protonix,Zantac,Omeprazole,Aciphex,Esomeprazole",Esophagitis,['The symptoms of esophagitis include:'],40,13,symptom esophagitis include
Esophageal Variceal Hemorrhage Prophylaxis,Nadolol,Esophageal varices,"vomiting blood , passing black stool",36,1,vomiting blood passing black stool
Expectoration,Acetylcysteine,Plastic bronchitis,"['The clinical presentation of plastic bronchitis beyond expectoration of casts includes a productive cough', 'dyspnea', 'fever and wheezing. Focal wheezing is a characteristic', 'if not specific', 'physical examination finding. If the casts completely obstruct the airway', 'breath sounds will be decreased and dullness will be present with percussion. With partial obstruction', 'a “fan sound” or “flag flapping” sound can be heard during auscultation. Bronchial casts can sometimes fill the airways of almost an entire lung', 'and present as an acute', 'life-threatening emergency.']",586,1,clinical presentation plastic bronchitis beyond expectoration cast includes productive cough dyspnea fever wheezing focal wheezing characteristic specific physical examination finding cast completely obstruct airway breath sound decreased dullness present percussion partial obstruction “ fan sound ” “ flag flapping ” sound heard auscultation bronchial cast sometimes fill airway almost entire lung present acute lifethreatening emergency
Extrapyramidal Reaction,"Diphenhydramine,Trihexyphenidyl,Artane,Cogentin,Benztropine",Bloating,Blood in stool Weight loss Nausea Vomiting Diarrhea Stomach pain,64,5,blood stool weight loss nausea vomiting diarrhea stomach pain
Eye Redness,"Ocular lubricant,GenTeal,FreshKote,Fluorometholone,TheraTears,Systane Ultra,Tears Again",Episcleritis,"Photophobia , hot/prickly/gritty sensation in eye, Eye redness without pain, Watery eyes",88,7,photophobia hotpricklygritty sensation eye eye redness without pain watery eye
Eye Redness/Itching,"Naphazoline / pheniramine,Visine-A,Opcon-A",Conjunctivitis,"Reddish eye , scratchiness",26,3,reddish eye scratchiness
Eyelash Hypotrichosis,"Bimatoprost,Latisse",Monilethrix,"['Some indicators of monilethrix are small bumps on the skin', 'mainly on the scalp', 'neck and arms. In most cases', 'firm', 'dark papules', 'covered with dark scales and crusts appears on the skin', 'especially the scalp. The affected individual would have beaded hair strands. The possible areas for the hair loss are the eyebrows', 'eyelashes', 'limbs', 'and pubic region. Hair strands are usually dull', 'dry', 'and brittle. The strands are prone to mild to severe breakage', 'causing onset alopecia', 'especially during pregnancy. Fingernail and toenails tend to appear abnormal. The onset for this disease varies from person to person. The frequency of monilethrix is currently unknown.']",695,2,indicator monilethrix small bump skin mainly scalp neck arm case firm dark papule covered dark scale crust appears skin especially scalp affected individual would beaded hair strand possible area hair loss eyebrow eyelash limb pubic region hair strand usually dull dry brittle strand prone mild severe breakage causing onset alopecia especially pregnancy fingernail toenail tend appear abnormal onset disease varies person person frequency monilethrix currently unknown
GERD,"Nexium,Esomeprazole,Lansoprazole,Prevacid,Pantoprazole,Rabeprazole,Prilosec,Aciphex,Omeprazole,Kapidex,Dexlansoprazole,Ranitidine,Dexilant,Prilosec OTC,Zantac 150,Sucralfate,Protonix,Famotidine,Omeprazole / sodium bicarbonate,Nizatidine,Zegerid OTC,Axid AR,Metoclopramide,Aluminum hydroxide / magnesium hydroxide / simethicone,Zantac,Calcium carbonate,Axid,Zegerid",Gastroesophageal reflux disease,"Taste of acid, heartburn , bad breath , chest pain , breathing problems",71,28,taste acid heartburn bad breath chest pain breathing problem
Gallbladder Disease,Ursodiol,Gallbladder disease,"['Gallbladder disease presents chiefly with abdominal pain located in the right upper abdomen. This pain is described as biliary colic . Pain typically occurs suddenly and radiates to the right shoulder and back', 'depending on several factors', 'including specific diseases. It can either be constant or episodic and last from minutes to hours. This pain is described as biliary colic pain. Other common symptoms with gallbladder disease and biliary colic are nausea and vomiting. With conditions such as cholecystitis and choledocholithiasis', 'fever may be present.']",570,1,gallbladder disease present chiefly abdominal pain located right upper abdomen pain described biliary colic pain typically occurs suddenly radiates right shoulder back depending several factor including specific disease either constant episodic last minute hour pain described biliary colic pain common symptom gallbladder disease biliary colic nausea vomiting condition cholecystitis choledocholithiasis fever may present
Gas,"E-Z-Gas II,Gas-X,Di-Gel,Bismuth subgallate,Simethicone",,nan,3,5,nan
Gastric Ulcer Maintenance Treatment,Ranitidine,Colitis,['The signs and symptoms of colitis are quite variable and dependent on the cause of the given colitis and factors that modify its course and severity.'],153,1,sign symptom colitis quite variable dependent cause given colitis factor modify course severity
Gastritis/Duodenitis,Pantoprazole,Gastritis,"Upper abdominal pain , nausea , vomiting , bloating, loss of appetite, heartburn",80,1,upper abdominal pain nausea vomiting bloating loss appetite heartburn
Gastroenteritis,"Ondansetron,Zofran",Gastroenteritis,"Diarrhea , vomiting , abdominal pain, fever",43,2,diarrhea vomiting abdominal pain fever
Gastrointestinal Decontamination,"MoviPrep,Polyethylene glycol 3350 with electrolytes",Paracetamol poisoning,"Early : Non specific, feeling tired, abdominal pain , nausea Later : Yellowish skin , blood clotting problems , confusion",121,2,early non specific feeling tired abdominal pain nausea later yellowish skin blood clotting problem confusion
Gastrointestinal Hemorrhage,"Omeprazole / sodium bicarbonate,Zegerid",Gastrointestinal bleeding,"Vomiting red blood , vomiting black blood , bloody stool , black stool , feeling tired",86,2,vomiting red blood vomiting black blood bloody stool black stool feeling tired
Gastrointestinal Stromal Tum,"Imatinib,Gleevec",,nan,3,2,nan
Gastroparesis,"Metoclopramide,Metozolv ODT,Reglan",Gastroparesis,"Nausea , vomiting , abdominal pain , feeling full after eating just a few bites",79,3,nausea vomiting abdominal pain feeling full eating bite
Gender Dysphoria,Testosterone,Gender dysphoria,"Distress related to one's assigned gender, sex, and/or sex characteristics",74,1,distress related one assigned gender sex andor sex characteristic
Generalized Anxiety Disorde,"Pregabalin,Escitalopram,Quetiapine,Lexapro,Paroxetine,Paxil,Effexor XR,Sertraline,Duloxetine,Citalopram,Cymbalta,Paxil CR,Venlafaxine,Lyrica,Seroquel,Celexa",,nan,3,16,nan
Giant Cell Tumor of Bone,Xgeva,Giant-cell tumor of bone,"[""Patients usually present with pain and limited range of motion caused by tumor's proximity to the joint space. Swelling may occur"", 'as well', 'if the tumor has been growing for a long time. Some patients may be asymptomatic until they develop a pathologic fracture at the site of the tumor. They usually originate from the epiphysis of long bones', 'but in rare cases', 'they may arise from anterior arc of the ribs. The symptoms may include muscular aches and pains in arms or legs and abdominal pain. Patients may also experience nerve pain which feels like an electric shock due to weight bearing.']",605,1,patient usually present pain limited range motion caused tumor proximity joint space swelling may occur well tumor growing long time patient may asymptomatic develop pathologic fracture site tumor usually originate epiphysis long bone rare case may arise anterior arc rib symptom may include muscular ache pain arm leg abdominal pain patient may also experience nerve pain feel like electric shock due weight bearing
Giardiasis,"Metronidazole,Tinidazole",Giardiasis,"Diarrhea , abdominal pain , weight loss, nausea",47,2,diarrhea abdominal pain weight loss nausea
Gingivitis,Chlorhexidine,Gingivitis,['The symptoms of gingivitis are somewhat non-specific and manifest in the gum tissue as the classic signs of inflammation :'],126,1,symptom gingivitis somewhat nonspecific manifest gum tissue classic sign inflammation
Glaucoma,"Brimonidine / timolol,Acetazolamide,Diamox",Glaucoma,"intense eye pain, nausea and vomiting ,a red eye, a headache tenderness around the eyes, seeing rings around lights, blurred vision",2402,3,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
"Glaucoma, Open Angle","Zioptan,Simbrinza,Latanoprost,Trusopt,Cosopt PF,Travatan,Timolol,Dorzolamide / timolol,Lumigan,Xalatan",Glaucoma,"intense eye pain, nausea and vomiting ,a red eye, a headache tenderness around the eyes, seeing rings around lights, blurred vision",2402,10,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
Glioblastoma Multi,Bevacizumab,Breast cancer,"A lump in a breast, a change in breast shape, dimpling of the skin, fluid from the nipple , a newly inverted nipple, a red scaly patch of skin on the breast",156,1,lump breast change breast shape dimpling skin fluid nipple newly inverted nipple red scaly patch skin breast
Glioblastoma Multiforme,Avastin,Glioblastoma,"Initially nonspecific, headaches , personality changes, nausea , symptoms similar to a stroke",93,1,initially nonspecific headache personality change nausea symptom similar stroke
"Gonococcal Infection, Uncomplicated","Azithromycin,Ceftriaxone",Urinary tract infection,"Pain with urination , frequent urination, feeling the need to urinate despite having an empty bladder",101,2,pain urination frequent urination feeling need urinate despite empty bladder
Gout,"Uloric,Allopurinol,Febuxostat,Krystexxa,Probenecid,Lesinurad,Pegloticase",Gout,"Joint pain , swelling , and redness",35,7,joint pain swelling redness
"Gout, Acute","Indomethacin,Methylprednisolone,Aleve,Colchicine,Naproxen,Colcrys,Indocin,Ibuprofen,Advil",Gout,"Joint pain , swelling , and redness",35,9,joint pain swelling redness
Gouty Arthritis,"Prednisone,Dexamethasone",Gout,"Joint pain , swelling , and redness",35,2,joint pain swelling redness
HIV Infection,"Genvoya,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,Abacavir / dolutegravir / lamivudine,Efavirenz,Cobicistat / elvitegravir / emtricitabine / tenofovir,Intelence,Atripla,Triumeq,Complera,Stribild,Efavirenz / emtricitabine / tenofovir,Emtricitabine / tenofovir,Raltegravir,Abacavir / lamivudine,Tivicay,Truvada,Dolutegravir,Emtricitabine / rilpivirine / tenofovir,Isentress,Epzicom,Prezista,Odefsey,Darunavir,Prezcobix,Kaletra,Enfuvirtide,Cobicistat / darunavir",HIV/AIDS,"Early : Flu-like illness Later : Large lymph nodes , fever, weight loss",71,27,early flulike illness later large lymph node fever weight loss
Hashimoto's disease,"Nature-Throid,Thyroid desiccated,Levothyroxine,Tirosint,Armour Thyroid,Synthroid,Westhroid,NP Thyroid",Hashimoto's thyroiditis,"Painless goiter , weight gain , feeling tired , constipation , depression , dry skin , hair loss",96,8,painless goiter weight gain feeling tired constipation depression dry skin hair loss
Head Injury,Amantadine,Head injury,Injury to the brain or skull,28,1,injury brain skull
Head Lice,"Sklice,Ivermectin,Ovide,Natroba,Stromectol,Malathion,Spinosad",Head lice infestation,Itching that can result in trouble sleeping,43,7,itching result trouble sleeping
Headache,"Acetaminophen / butalbital / caffeine,Acetaminophen / dichloralphenazone / isometheptene mucate,Fioricet,Aspirin / butalbital / caffeine,Fiorinal with Codeine,Esgic,Fioricet with Codeine,Acetaminophen / butalbital / caffeine / codeine,Esgic-Plus,Naproxen,Acetaminophen / butalbital,Acetaminophen / caffeine,Ibuprofen,Fiorinal,Prodrin,Acetaminophen / phenyltoloxamine,Acetaminophen / caffeine / isometheptene mucate,Advil,Aspirin / butalbital / caffeine / codeine,Excedrin Quick Tab,Excedrin Tension Headache,Motrin",Cluster headache,"Recurrent, severe headaches on one side of the head, eye watering, stuffy nose",78,22,recurrent severe headache one side head eye watering stuffy nose
Heart Attack,"Metoprolol,Plavix,Aspirin,Clopidogrel,Bayer Aspirin,Lisinopril,Metoprolol Tartrate,Altace,Nitroglycerin",Myocardial infarction,"Chest pain , shortness of breath , nausea/vomiting, dizziness or lightheadedness , cold sweat , feeling tired ; arm, neck, back, jaw, or stomach pain, decreased level or total loss of consciousness",197,9,chest pain shortness breath nauseavomiting dizziness lightheadedness cold sweat feeling tired arm neck back jaw stomach pain decreased level total loss consciousness
Heart Failure,"Carvedilol,Sacubitril / valsartan,Entresto,Corlanor,Digoxin,Bisoprolol,Furosemide,Toprol-XL,Metoprolol,Coreg CR,Quinapril,Aldactone,Coreg,Lisinopril",Heart failure,"Shortness of breath , exhaustion , swollen legs",47,14,shortness breath exhaustion swollen leg
Helicobacter Pylori Infection,"Pylera,Bismuth subcitrate potassium / metronidazole / tetracycline,Amoxicillin / clarithromycin / lansoprazole,Clarithromycin,Prevpac,Omeprazole,Metronidazole,Esomeprazole,Biaxin,Nexium,Tetracycline",Helicobacter pylori,,0,11,
Hemophilia A,Antihemophilic factor,Haemophilia,Easy and prolonged bleeding,27,1,easy prolonged bleeding
Hemophilia B,Coagulation factor ix,Haemophilia B,Easy bruising,13,1,easy bruising
Hemorrhoids,"Lidocaine,Pramoxine,Proctofoam,Hydrocortisone,Analpram-HC,Hydrocortisone / pramoxine,Anucort-HC,Proctosol-HC,Phenylephrine / pramoxine",Hemorrhoid,"Internal : Painless, bright red rectal bleeding External : Pain and swelling around the anus",92,9,internal painless bright red rectal bleeding external pain swelling around anus
Hepatic Encephalopathy,"Xifaxan,Lactulose,Rifaximin",Hepatic encephalopathy,"Altered level of consciousness , mood changes, personality changes, movement problems slurred speech, Sleep problems, Anxiety or irritability, Muscle twitches (myoclonus), Difficulty concentrating or short attention span, Flapping hand motion (asterixis), Reduced alertness, Cognitive impairment (confused thinking or judgment).",328,3,altered level consciousness mood change personality change movement problem slurred speech sleep problem anxiety irritability muscle twitch myoclonus difficulty concentrating short attention span flapping hand motion asterixis reduced alertness cognitive impairment confused thinking judgment
Hepatitis B,"Tenofovir,Viread",Hepatitis B,"None, yellowish skin , tiredness , dark urine, abdominal pain",61,2,none yellowish skin tiredness dark urine abdominal pain
Hepatitis C,"Sovaldi,Harvoni,Sofosbuvir,Ledipasvir / sofosbuvir,Daklinza,Incivek,Zepatier,Epclusa,Daclatasvir,Telaprevir,Peginterferon alfa-2a,Sofosbuvir / velpatasvir,Elbasvir / grazoprevir,Moderiba,Olysio,Ribasphere,Ribavirin,Pegasys",Hepatitis C,Typically none,14,18,typically none
Hepatocellular Carcinoma,Sorafenib,Hepatocellular carcinoma,"['Most cases of HCC occur in people who already have signs and symptoms of chronic liver disease. They may present with worsening symptoms or without symptoms at the time of cancer detection. HCC may present with non-specific symptoms such as abdominal pain ', 'nausea ', 'vomiting ', 'or feeling tired . Some symptoms that are more closely associated with liver disease include yellow skin (also called jaundice)', 'abdominal swelling due to fluid in the abdominal cavity ', 'easy bruising from blood clotting abnormalities ', 'loss of appetite ', 'unintentional weight loss', 'abdominal pain ', 'nausea ', 'vomiting ', 'or feeling tired .']",642,1,case hcc occur people already sign symptom chronic liver disease may present worsening symptom without symptom time cancer detection hcc may present nonspecific symptom abdominal pain nausea vomiting feeling tired symptom closely associated liver disease include yellow skin also called jaundice abdominal swelling due fluid abdominal cavity easy bruising blood clotting abnormality loss appetite unintentional weight loss abdominal pain nausea vomiting feeling tired
Herbal Supplementation,"Milk thistle,Chaparral,Ginseng,Fenugreek,Guarana",Altitude sickness,"Headache , vomiting , feeling tired , trouble sleeping , dizziness",66,5,headache vomiting feeling tired trouble sleeping dizziness
Hereditary Angioedema,"Cinryze,Firazyr,Kalbitor,Icatibant,Berinert",Hereditary angioedema,Recurrent attacks of severe swelling,36,5,recurrent attack severe swelling
Herpes Simplex,"Docosanol,Zovirax,Lysine,Abreva,Acyclovir,Blistex",Herpes,"Blisters that break open and form small ulcers , fever, swollen lymph nodes",75,6,blister break open form small ulcer fever swollen lymph node
Herpes Simplex Dendritic Keratitis,Zirgan,Herpes simplex keratitis,['Primary infection most commonly manifests as blepharoconjunctivitis i.e. infection of lids and conjunctiva that heals without scarring. Lid vesicles and conjunctivitis are seen in primary infection. Corneal involvement is rarely seen in primary infection.'],259,1,primary infection commonly manifest blepharoconjunctivitis ie infection lid conjunctiva heals without scarring lid vesicle conjunctivitis seen primary infection corneal involvement rarely seen primary infection
"Herpes Simplex, Mucocutaneous/Immunocompetent Host","Valtrex,Famciclovir,Famvir,Valacyclovir",Candidiasis,"White patches or vaginal discharge, itching",43,4,white patch vaginal discharge itching
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",Valacyclovir,Herpes,"Blisters that break open and form small ulcers , fever, swollen lymph nodes",75,1,blister break open form small ulcer fever swollen lymph node
"Herpes Simplex, Suppression","Lysine,Valacyclovir,Valtrex,Zovirax,Acyclovir",Herpes esophagitis,"['People with herpes esophagitis experience pain with eating and trouble swallowing . Other symptoms can include food impaction ', 'hiccups ', 'weight loss', 'fever', 'and on rare occasions upper gastrointestinal bleeding as noted in the image above and tracheoesophageal fistula . Frequently one can see herpetiform lesions in the mouth and lips.']",349,5,people herpes esophagitis experience pain eating trouble swallowing symptom include food impaction hiccup weight loss fever rare occasion upper gastrointestinal bleeding noted image tracheoesophageal fistula frequently one see herpetiform lesion mouth lip
Herpes Zoste,"Acyclovir,Valacyclovir,Valtrex,Famvir",,nan,3,4,nan
